%Nb QEC = 1, Nb Frames = 50, Distance step = 0.25, NbTest = 40,            use HEVC = True, FlatFixedResolution = 1920x1080, BitrateGoal = 0             inputVideo=bridge-jumping.mp4, averageEqTileRatio = 0.75
distance qualityAverageEquiTiled qualityCubeMapLower qualityEquirectangularTiledLower qualityPyramidLower qualityRhombicDodecaLower
0.0 0.9654505 0.9855268000000001 0.96244472 0.9836970600000001 0.9784801999999999
0.25 0.9652133897499995 0.9843713029999999 0.9601292695000001 0.9805929219999996 0.9763631844999999
0.5 0.96592153575 0.9815670280000001 0.9563296170000001 0.9751141724999997 0.9714046865
0.75 0.9650132117499999 0.9764547334999998 0.94332457 0.9612342975000001 0.9575417565000001
1.0 0.9673189347500001 0.973480919 0.9471539785 0.9498972535000002 0.9550436824999998
1.25 0.9654405462500002 0.9696824735 0.9376602144999998 0.9379697810000002 0.9465688615
1.5 0.9644856585000003 0.9661244845000001 0.9395575795000001 0.9260723504999999 0.9440929235000001
1.75 0.9617682157499999 0.9621369184999997 0.9321576895 0.9185753649999999 0.938098113
2.0 0.9589355240000002 0.9570951954999998 0.93024653 0.9112507849999998 0.9343710004999999
2.25 0.95416016225 0.9499805380000002 0.9291094130000002 0.9109611569999998 0.9309405184999999
2.5 0.9462380877499997 0.9411080760000001 0.9094715604999999 0.9095791005000002 0.923345995
2.75 0.9373096445000005 0.926960918 0.9062248584999999 0.9064894035000002 0.9131923635000001
3.0 0.9322966351282054 0.9209593728205129 0.8988072451282051 0.9058444615384613 0.9056104784615383
3.141592653589793 0.93131901 0.9200262400000002 0.8964840400000001 0.9053513999999998 0.9041269200000001
