%Nb QEC = 2, Nb Frames = 50, Distance step = 0.25, NbTest = 10,            use HEVC = True, FlatFixedResolution = 1920x1080, BitrateGoal = 0             inputVideo=bridge-jumping.mp4, averageEqTileRatio = 0.5
distance qualityCubeMapLower qualityEquirectangularTiledLower qualityPyramidLower qualityRhombicDodeca qualityRhombicDodecaLower
0.0 2.329222999999999 0.5275229999999951 1.9688269999999974 1.3243360000000024 1.5598399999999941
0.25 2.2753217999999933 0.44474949999998614 1.8182313999999877 1.3183229999999924 1.5501720999999975
0.5 1.9648439999999923 0.34474730000000164 1.4101391999999962 1.1851087999999947 1.3077992999999921
0.75 1.6189086999999986 0.035119100000002845 0.9125055000000089 0.8829198999999974 0.7757408999999953
1.0 1.2145700999999818 0.2073615999999845 0.3251760999999931 0.6675333999999893 0.47170929999999345
1.25 1.0509575000000027 -0.1747681999999955 0.009710100000006605 0.5107549000000162 0.22168180000001314
1.5 0.7560283999999982 -0.09723119999999597 -0.391662800000006 0.1945578999999853 -0.02800859999999261
1.75 0.5272609999999887 -0.39375310000001207 -0.6737558000000092 0.08812399999999343 -0.13899060000000674
2.0 0.4054326000000046 -0.25503280000000217 -0.683193799999998 -0.0863591000000028 -0.2114510999999979
2.25 0.34412710000000146 -0.1580138000000062 -0.4422230000000056 -0.236316599999995 -0.18299370000000437
2.5 0.3472366000000022 -0.4178723000000062 -0.18331210000000198 -0.440429999999985 -0.29912900000000064
2.75 0.3214276999999939 -0.06318510000000543 0.12796939999999069 -0.3603730999999968 -0.11287540000000007
3.0 0.3526773000000105 -0.082510599999992 0.21434910000001395 -0.46636939999999427 -0.15974669999999236
3.141592653589793 0.3734229999999954 -0.06838700000000131 0.23648900000000594 -0.4635919999999949 -0.16364100000000548
