%Nb QEC = 2, Nb Frames = 50, Distance step = 0.25, NbTest = 10,            use HEVC = True, FlatFixedResolution = 1920x1080, BitrateGoal = 0             inputVideo=bridge-jumping.mp4, averageEqTileRatio = 1.0
distance qualityCubeMapLower qualityEquirectangularTiledLower qualityPyramidLower qualityRhombicDodeca qualityRhombicDodecaLower
0.0 2.3103009999999955 0.6605070000000097 1.719181000000006 1.2346550000000036 1.400962000000007
0.25 2.2430088000000126 0.5389509999999973 1.5583360999999911 1.2346378999999956 1.3518887000000035
0.5 1.9155888000000019 0.4080634000000032 1.1458431000000218 1.0573551000000023 1.0947139000000092
0.75 1.6863375999999874 0.07653859999999924 0.6780012999999983 0.8514576999999832 0.687242299999987
1.0 1.2126663000000093 0.24105610000000866 0.0577881999999974 0.528603700000005 0.33568019999999876
1.25 1.063999900000006 -0.18144149999999826 -0.27800629999999416 0.42157900000000126 0.1536489000000003
1.5 0.7847049999999953 -0.07547770000001464 -0.6996188000000032 0.1135170999999815 -0.10390819999999934
1.75 0.6101853000000048 -0.4163104000000075 -1.0093933000000064 0.005382599999990134 -0.14002659999999878
2.0 0.5005545999999939 -0.15922730000000485 -0.9429702000000049 -0.12144600000000594 -0.1634879000000069
2.25 0.37330139999999545 -0.05453589999999764 -0.7458751000000063 -0.350952300000003 -0.18039430000000323
2.5 0.521098500000015 -0.37923620000000113 -0.5054726000000045 -0.4807393999999974 -0.19547779999999904
2.75 0.43879989999999935 0.06285729999999035 -0.15498950000000633 -0.5181317000000121 -0.06953710000000513
3.0 0.5215830999999866 0.0755006999999921 -0.06590340000001049 -0.584947700000015 -0.08312850000001504
3.141592653589793 0.5253580000000042 0.07957700000000756 -0.0637349999999941 -0.5856259999999907 -0.0955459999999917
